Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
5	14	1499.8	1.0776	0.6272	1.4968	1.9104	-0.0625	0.2481	0.246
5	15	1607.0	1.0649	0.6359	1.5101	1.9304	-0.0849	0.2397	0.2402
5	16	1713.6	1.0568	0.6414	1.5572	1.9885	-0.1512	0.2247	0.2262
5	17	1819.9	1.0509	0.6454	1.5235	1.9413	-0.0972	0.248	0.2474
5	18	1926.1	1.0423	0.6512	1.5362	1.9661	-0.1254	0.2514	0.2501
5	19	2032.7	1.035	0.6561	1.5277	1.954	-0.1116	0.2427	0.2427
5	20	2138.9	0.9987	0.6797	1.5686	1.9966	-0.1606	0.2435	0.2438
5	21	2244.9	0.9895	0.6856	1.5433	1.972	-0.1322	0.2505	0.2515
5	22	2351.6	0.9825	0.6901	1.5233	1.9479	-0.1047	0.2513	0.2528
5	23	2458.2	0.9781	0.6928	1.5493	1.973	-0.1333	0.235	0.2356
5	24	2565.5	0.9709	0.6974	1.5313	1.9623	-0.1211	0.242	0.2497
5	25	2671.8	0.9656	0.7006	1.55	1.9923	-0.1556	0.2542	0.2596
5	26	2778.1	0.9613	0.7033	1.5484	1.9732	-0.1336	0.2446	0.2478
5	27	2885.0	0.9557	0.7067	1.5527	1.9775	-0.1385	0.2484	0.2515
5	28	2991.8	0.9524	0.7088	1.5567	1.984	-0.146	0.2426	0.2481
5	29	3098.9	0.9578	0.7055	1.5398	1.9674	-0.1269	0.2573	0.2639
5	30	3205.8	0.9242	0.7258	1.5499	1.974	-0.1345	0.2474	0.2547
5	31	3311.7	0.9171	0.7299	1.5703	2.003	-0.1681	0.237	0.2463
5	32	3418.0	0.9126	0.7326	1.5955	2.0424	-0.2145	0.2381	0.2497
5	33	3524.5	0.9088	0.7348	1.5626	1.9999	-0.1644	0.2407	0.2514
5	34	3630.7	0.9057	0.7366	1.5662	1.9984	-0.1627	0.2379	0.2477
5	35	3737.3	0.9009	0.7394	1.5834	2.029	-0.1986	0.2331	0.2481
5	36	3844.0	0.8987	0.7406	1.5969	2.0436	-0.2159	0.2315	0.2437
5	37	3950.5	0.8941	0.7433	1.5833	2.028	-0.1974	0.2325	0.2474
5	38	4056.6	0.8922	0.7444	1.589	2.0366	-0.2076	0.2277	0.2429
5	39	4162.8	0.889	0.7463	1.5972	2.0478	-0.221	0.231	0.2439
5	40	4269.2	0.8715	0.7561	1.5972	2.0506	-0.2242	0.2299	0.2431
5	41	4375.9	0.8683	0.7579	1.5929	2.0426	-0.2147	0.2314	0.2463
5	42	4482.4	0.866	0.7592	1.5848	2.0329	-0.2032	0.2285	0.2437
5	43	4589.5	0.8617	0.7616	1.5955	2.0537	-0.2279	0.2302	0.248
5	44	4695.1	0.8609	0.7621	1.596	2.0477	-0.2208	0.2275	0.2428
5	45	4801.0	0.8569	0.7642	1.6113	2.0732	-0.2514	0.2274	0.2439
5	46	4906.6	0.8556	0.7649	1.5953	2.0523	-0.2263	0.2287	0.2466
5	47	5012.7	0.8538	0.766	1.5966	2.0586	-0.2338	0.2277	0.2473
5	48	5118.5	0.851	0.7675	1.5993	2.0598	-0.2352	0.2277	0.2446
5	49	5224.7	0.8494	0.7683	1.6031	2.0617	-0.2375	0.2279	0.2444
5	50	5331.0	0.8381	0.7745	1.6008	2.064	-0.2404	0.2258	0.2439
6	1	106.4	1.6654	0.1207	1.6431	2.1077	-0.4625	0.0559	0.0885
6	2	212.7	1.4211	0.3597	1.4837	1.8599	-0.1389	0.0789	0.0964
6	3	319.1	1.3382	0.4322	1.6568	2.1067	-0.4612	0.027	0.0278
6	4	425.7	1.2865	0.4752	1.5963	2.0387	-0.3684	0.0865	0.0868
6	5	531.3	1.2524	0.5027	1.6906	2.1465	-0.5169	0.0355	0.032
6	6	637.4	1.2263	0.5232	1.6267	2.0552	-0.3905	0.0403	0.0397
6	7	744.1	1.2021	0.5418	1.6083	2.0252	-0.3502	0.0532	0.0541
6	8	851.2	1.2071	0.538	1.7658	2.2491	-0.6653	0.0382	0.0407
6	9	957.3	1.1823	0.5568	1.7121	2.1864	-0.5738	0.0575	0.0584
6	10	1063.1	1.1157	0.6054	1.7622	2.2435	-0.657	0.0364	0.0353
